year,group_a,group_b,total_population
2023,50000000.0,5000000.0,55000000.0
2024,49800000.0,5275000.0,55075000.0
2025,49600800.0,5565125.0,55165925.0
2026,49402396.8,5871206.875,55273603.675
2027,49204787.212799996,6194123.253125001,55398910.46592499
2028,49007968.063948795,6534800.032046876,55542768.09599567
2029,48811936.191693,6894214.033809454,55706150.225502454
2030,48616688.44692623,7273395.805668973,55890084.2525952
2031,48422221.693138525,7673432.5749807665,56095654.26811929
2032,48228532.806365974,8095471.366604709,56324004.17297068
2033,48035618.67514051,8540722.291767968,56576340.96690848
2034,47843476.200439945,9010462.017815206,56853938.21825515
2035,47652102.29563819,9506037.428795042,57158139.72443323
2036,47461493.88645563,10028869.487378769,57490363.3738344
2037,47271647.91090981,10580457.3091846,57852105.22009441
2038,47082561.31926617,11162382.461189752,58244943.780455925
2039,46894231.07398911,11776313.496555189,58670544.570544295
2040,46706654.14969315,12424010.738865726,59130664.88855887
2041,46519827.53309438,13107331.32950334,59627158.86259772
2042,46333748.222962,13828234.552626025,60161982.77558802
2043,46148413.23007015,14588787.453020457,60737200.68309061
2044,45963819.577149875,15391170.762936583,61354990.34008646
2045,45779964.298841275,16237685.154898096,62017649.453739375
2046,45596844.44164591,17130757.83841749,62727602.280063406
2047,45414457.063879326,18072949.51953045,63487406.58340977
2048,45232799.23562381,19066961.74310462,64299760.97872843
2049,45051868.03868131,20115644.638975378,65167512.677656695
2050,44871660.56652659,21222005.09411902,66093665.66064561
2051,44692173.92426048,22389215.374295563,67081389.298556045
2052,44513405.22856344,23620622.21988182,68134027.44844526
2053,44335351.60764919,24919756.441975318,69255108.0496245
2054,44158010.20121859,26290343.04628396,70448353.24750255
2055,43981378.16041371,27736311.91382958,71717690.07424329
2056,43805452.64777205,29261809.06909021,73067261.71686226
2057,43630230.83718096,30871208.56789017,74501439.40507112
2058,43455709.91383223,32569125.039124127,76024834.95295636
2059,43281887.0741769,34360426.916275956,77642313.99045286
2060,43108759.525880195,36250250.39667113,79359009.92255133
2061,42936324.487776674,38244014.16848805,81180338.65626472
2062,42764579.189825565,40347434.94775489,83112014.13758045
2063,42593520.87306626,42566543.86988141,85160064.74294767
2064,42423146.789574,44907703.78272488,87330850.57229888
2065,42253454.202415705,47377627.49077475,89631081.69319046
2066,42084440.38560604,49983397.00276736,92067837.3883734
2067,41916102.62406362,52732483.83791957,94648586.46198319
2068,41748438.21356737,55632770.44900515,97381208.66257252
2069,41581444.460713096,58692572.82370043,100274017.28441352
2070,41415118.68287025,61920664.32900395,103335783.0118742
2071,41249458.20813877,65326300.867099166,106575759.07523793
2072,41084460.37530621,68919247.41478963,110003707.79009584
2073,40920122.53380498,72709806.02260306,113629928.55640805
2074,40756442.04366976,76708845.35384624,117465287.397516
2075,40593416.27549508,80927831.84830779,121521248.12380287
2076,40431042.61039311,85378862.59996471,125809905.21035782
2077,40269318.43995154,90074700.04296276,130344018.4829143
2078,40108241.16619173,95028808.54532571,135137049.71151745
2079,39947808.201526955,100255393.01531862,140203201.21684557
2080,39788016.968720846,105769439.63116114,145557456.59988198
2081,39628864.90084597,111586758.810875,151215623.71172097
2082,39470349.44124258,117724030.54547311,157194379.9867157
2083,39312468.04347761,124198852.22547413,163511320.26895174
2084,39155218.171303704,131029789.09787522,170185007.26917893
2085,38998597.298618495,138236427.49825835,177235024.79687685
2086,38842602.90942402,145839431.0106626,184682033.92008662
2087,38687232.49778633,153860599.71624902,192547832.21403533
2088,38532483.56779518,162322932.70064273,200855416.26843792
2089,38378353.63352399,171250693.9991781,209629047.6327021
2090,38224840.218989894,180669482.16913292,218894322.3881228
2091,38071940.85811393,190606303.68843523,228678244.54654914
2092,37919653.09468147,201089650.39129916,239009303.48598063
2093,37767974.48230274,212149581.1628206,249917555.64512336
2094,37616902.58437353,223817808.12677574,261434710.71114928
2095,37466434.97403603,236127787.5737484,273594222.54778445
2096,37316569.23413989,249114815.89030457,286431385.1244445
2097,37167302.957203336,262816130.76427132,299983433.72147465
2098,37018633.74537452,277271017.9563062,314289651.7016807
2099,36870559.21039302,292520923.9439031,329391483.1542961
2100,36723076.973551445,308609574.76081777,345332651.7343692
2101,36576184.665657245,325583101.3726628,362159286.03832
2102,36429879.92699462,343490171.9481592,379920051.87515384
2103,36284160.407286644,362382131.40530795,398666291.8125946
2104,36139023.7656575,382313148.6325999,418452172.3982574
2105,35994467.67059487,403340371.8073929,439334839.47798777
2106,35850489.7999125,425524092.2567995,461374582.05671203
2107,35707087.840712845,448927917.3309235,484635005.17163634
2108,35564259.48934999,473618952.7841243,509183212.27347434
2109,35422002.45139259,499667995.18725115,535089997.63864374
2110,35280314.441587016,527149734.92254996,562430049.3641369
2111,35139193.183820665,556142970.3432902,591282163.5271108
2112,34998636.41108538,586730833.7121712,621729470.1232566
2113,34858641.86544105,619001029.5663407,653859671.4317818
2114,34719207.29797929,653046086.1924895,687765293.4904687
2115,34580330.468787365,688963620.9330764,723543951.4018637
2116,34442009.14691221,726856620.0843955,761298629.2313077
2117,34304241.11032456,766833734.1890372,801137975.2993617
2118,34167024.14588326,809009589.5694343,843176613.7153175
2119,34030356.04929973,853505116.9957532,887535473.0450529
2120,33894234.625102535,900447898.4305195,934342133.055622
2121,33758657.68660213,949972532.8441981,983731190.5308002
2122,33623623.05585572,1002221022.1506289,1035844645.2064847
2123,33489128.563632306,1057343178.3689135,1090832306.932546
